8,8235552
12,10798985
8,19426777
12,22338078
6,9683815
1,29513462
1,24957499
4,22833825
12,1320452
8,24216018
11,20520433
1,41320265
11,4232395
1,33587122
9,11773721
1,39071915
10,13960740
7,24391765
3,10037593
3,15154454
1,38975868
3,24759734
11,8468863
4,16380470
6,866360
5,28045286
1,32247515
6,3039506
2,36191386
1,22779212
2,26297128
1,40954224
3,8467270
5,28001331
1,30602793
6,29135769
4,34284011
5,25254364
11,26647944
5,24394228
5,27331816
2,25352506
1,28998831
8,2155009
6,20542738
1,30109872
4,32229115
6,813809
2,34591001
3,10326675
11,26686282
1,31587559
3,31454782
11,19036730
3,1994615
1,28589878
6,10811177
1,30253721
1,30107923
9,23571010
6,25906498
6,1972993
8,18219379
12,10766968
3,3651430
11,19920762
6,29508868
7,4315934
1,24162856
1,38844596
7,27467840
3,6634922
1,25462360
1,23963475
11,4399467
1,30508978
3,7474774
1,24186529
3,6146384
3,9712038
7,26393366
6,1792091
11,23886691
5,27953016
12,13846123
3,10398307
3,3456275
3,9180634
2,19558579
5,28019236
3,6969086
7,28903171
6,2992199
1,27055252
3,4977393
1,44375876
1,29450376
3,7463607
3,8323124
12,25558936
4,30729492
1,21556969
5,27676092
6,3001650
3,3979811
2,34474324
1,41555667
1,29705274
6,808386
1,30359591
1,41497813
5,19805774
12,7010178
4,11988384
2,34255395
7,11468087
6,1530200
5,28401384
1,39606044
3,22361508
11,27458466
1,24118710
1,24942255
3,10329673
1,13855997
1,25108388
3,4012278
1,28923839
6,3042916
7,23593465
6,3009022
1,6219741
1,29972486
6,2995404
11,2500288
12,17836385
3,6040805
1,40895624
3,5544768
2,35754957
2,35059156
3,3514210
4,17690560
2,3230773
6,22694998
1,24572618
1,36174758
2,25026134
8,27574605
6,3009291
1,22948966
1,6249675
9,21959597
3,2399107
8,24969554
3,2243029
3,3364430
4,30792292
11,29206716
8,25431873
4,32160239
5,25273826
1,29272989
11,25400557
1,22245575
7,28910736
1,28206489
2,35924797
1,28428938
6,1822214
3,4925713
12,3989938
3,36513122
1,40939010
3,1899839
12,2173074
8,21287253
12,23933567
4,24812124
1,21311408
11,28318123
1,41299286
1,21349598
4,31105608
10,15013927
5,28521788
2,33682818
1,34929805
5,5061452
3,6690035
4,5574104
7,25683267
6,3003146
3,5884040
1,24491067
1,30103310
1,27456728
1,23984471
10,11452837
2,33183466
3,7862463
3,9977875
1,29978370
9,21604250
1,28169624
2,12757791
2,32423914
1,5633253
2,36820856
1,9304832
5,28274786
5,27600482
1,23731486
7,26821224
1,38991241
5,17256149
1,41042600
1,24182016
9,19020266
1,35170076
1,25516083
11,6867356
2,33251137
7,28909685
12,7666455
6,4869776
3,10006181
2,25591625
1,25337789
3,5090584
7,29010084
2,28654776
6,1936392
5,28070229
1,31107532
1,41443175
1,41003616
5,27790196
3,7605977
5,27456364
4,16578926
1,30699973
1,28419495
12,23086575
1,24179574
8,17765387
1,28315049
9,20323105
5,25101446
5,28006582
1,5129109
6,29819591
10,15305001
2,17283898
1,23257684
5,1809314
2,34342447
1,12734053
1,23574066
10,16252942
1,28892557
11,17970004
1,2725468
11,23288639
2,33723622
6,1611776
3,8523481
6,25090478
7,25453223
1,30497379
3,7260685
1,24522785
5,25266919
6,24793035
3,16423662
1,29640631
1,36762713
1,24282913
6,816993
10,15369802
4,2471749
5,28307396
9,16533212
1,45027302
2,31772208
3,7452756
7,1608602
3,8366076
3,2045916
3,4321915
9,23091791
6,795396
1,39553020
5,24508433
7,27080830
3,4661033
7,28908291
8,26843064
5,1221698
6,16415144
11,3690805
8,24977404
1,24775992
8,21225054
3,8269243
1,23523718
6,30134803
7,30095102
12,1165575
1,41118351
4,32877777
1,29981837
8,25990080
11,5199161
1,4259452
6,20663959
7,28902549
3,16056673
1,42461949
6,5994007
1,30297341
3,4467642
10,5171461
6,814164
6,30848506
10,10917767
1,28383940
1,37865045
6,6929229
1,32653691
1,23211786
3,10144407
1,22678415
4,31086310
6,29990691
4,34111504
1,5070146
5,25229351
4,7301022
12,17665387
6,2991142
5,28514266
8,9199684
9,17838237
1,31400525
9,15380799
5,29579363
1,29891311
1,30519107
4,676936
1,24757218
12,18615538
1,31061222
1,30131978
5,27919530
1,31851695
1,22185437
3,836619
11,5356409
7,20187107
7,26474312
5,25178312
1,31754256
1,25796928
3,7660447
12,22726755
2,32186338
5,28587085
1,31875779
5,28016362
7,24171389
2,6899454
3,4112836
6,797884
1,38743961
1,30158561
1,28017168
12,7329067
12,21390036
9,15086456
6,3042074
8,20908314
1,25480921
3,36239119
1,28805729
10,1657153
6,3038246
1,23910877
3,15627686
3,8197633
7,24757559
3,9534243
1,29313930
7,28889786
2,34637605
3,21170782
1,30544869
9,22436047
9,19508688
1,37359850
1,30098218
6,28683445
2,568585
11,20894789
10,18663606
7,8839095
11,24866248
8,5327225
1,25139949
6,3002165
3,27467368
3,7799906
3,4998968
6,28837651
7,28558484
5,2971539
1,23313562
1,40815256
1,9422897
6,813620
3,5903233
2,33362836
3,8203659
6,1174748
4,19126606
1,27049723
1,31922702
3,10264258
3,6803222
8,21061877
1,25021548
1,41190721
1,31597725
5,28067909
1,23102750
6,815075
8,27883943
7,28905733
1,30094526
3,8708870
3,4770186
3,10567705
5,28910984
2,31647517
1,41026989
8,2024902
9,7525803
12,24032630
1,21339368
6,791409
7,28922264
3,11774146
2,17497318
5,15849318
5,2714998
1,29062744
7,28922556
1,21398888
1,43751775
5,29633213
11,3375436
3,2699310
6,3038013
6,28152518
5,27868510
6,25395870
7,27723792
1,22241519
6,793731
3,8677618
1,27343815
1,24275084
2,36151600
6,27067193
7,29006468
1,23907959
7,27637808
7,29010148
2,9909573
6,24496100
1,23316829
6,24810535
5,28286403
11,23315869
1,27951045
1,25367449
1,25017319
6,815178
3,9421913
9,13140009
1,25667397
4,21489237
3,9581361
8,25683973
7,16216668
1,30281257
11,6048818
3,8879184
2,10583541
11,1473671
6,3007622
3,3665376
1,26325347
5,27408270
1,20954589
1,2899077
6,23207370
1,26385192
1,31187025
7,28890268
6,794991
3,10508804
10,13539364
2,4715411
7,28890105
11,22874985
10,14570693
2,31901326
6,1479662
7,22937302
3,9662397
5,23461742
4,29280570
1,40950517
4,348610
1,21012003
1,23995074
1,31612994
8,7548604
3,2073628
5,8395840
3,3198460
3,10237287
1,40688688
3,3247991
7,19283961
6,28697902
1,33468660
6,791271
7,28882805
2,4143587
1,22119779
6,2974242
